TESTCASE ID,Tên testcase(Mục đích),Các bước thực hiện ,Kết quả mong muốn,Độ ưu tiên,Kết quả thực tế ,Trạng thái,Ghi chú,Dev,Unnamed: 9
TC-T14-007,Hiển thị avatar/profile image đúng,1. Quan sát avatar,Avatar hiển thị đúng,Low,,,,,
TC-T14-008,Chỉnh sửa thông tin cá nhân thành công,"1. Nhấn Edit 
2. Update thông tin 
3. Save",Thông tin cập nhật thành công,High,,,,,
TC-T14-009,Validate khi để trống field bắt buộc,"1. Xóa field required 
2. Save",Hiển thị validate required,Medium,,,,,
TC-T14-010,Không cho nhập SĐT sai format,1. Nhập SĐT sai format,Hiển thị validate lỗi,Medium,,,,,
TC-T14-011,Update avatar thành công,1. Upload avatar mới,Avatar cập nhật thành công,Medium,,,,,
TC-T14-012,Upload avatar sai định dạng,1. Upload file không hỗ trợ,Hiển thị lỗi validate,Medium,,,,,
TC-T14-013,Upload avatar vượt dung lượng,1. Upload ảnh lớn,Hiển thị lỗi dung lượng,Medium,,,,,
TC-T14-014,Refresh app sau khi cập nhật profile,1. Reload app,Dữ liệu vẫn đúng,Medium,,,,,
TC-T14-015,App crash khi xem profile,"1. Force close app 
2. Mở lại",Dữ liệu không bị mất,Low,,,,,
TC-T14-016,App background khi xem profile,"1. Đưa app background 
2. Mở lại",Dữ liệu vẫn giữ đúng,Low,,,,,
TC-T14-017,Mất mạng khi load profile,"1. Tắt mạng 
2. Mở tab Cá nhân",Hiển thị lỗi kết nối,Medium,,,,,
TC-T14-018,Server timeout khi load profile,1. Mở tab Cá nhân,Hiển thị loading/error phù hợp,Medium,,,,,
TC-T14-019,Session hết hạn khi mở profile,1. Mở tab Cá nhân,Redirect login hoặc báo session expired,Medium,,,,,
TC-T14-020,Đồng bộ profile giữa nhiều device,"1. Update profile trên device A 
2. Kiểm tra device B",Dữ liệu sync đúng,Medium,,,,,
TC-T14-021,Hiển thị thông báo khi profile chưa đầy đủ,1. Mở tab Cá nhân,Hiển thị nhắc cập nhật profile,Medium,,,,,
TC-T14-022,Không duplicate dữ liệu dịch vụ,1. Kiểm tra danh sách service,Không hiển thị trùng dữ liệu,Low,,,,,
TC-T14-023,Hiển thị loading khi tải profile,1. Mở tab Cá nhân,Hiển thị loading trước khi load xong,Low,,,,,
TC-T14-024,Hiển thị đúng format thông tin,1. Quan sát UI,Dữ liệu hiển thị đúng format,Low,,,,,
TC-T14-025,Logout từ màn hình Cá nhân,1. Nhấn Logout,Đăng xuất thành công và quay về màn Login,High,,,,,
