TESTCASE ID,Tên Test Case,Các bước thực hiện,Kết quả mong đợi,Độ ưu tiên,Kết quả thực tế,Trạng thái,Note,Dev
TC-KH19-009,Kiểm tra rút tiền khi mất mạng,"1. Tắt internet 
2. Thực hiện rút tiền",Hệ thống hiển thị lỗi kết nối mạng,Medium,,,,
UC-KH-20 — Xem & quản lý thông tin cá nhân,,,,,,,,
TC-KH20-001,Mở màn hình cá nhân thành công,1. Nhấn tab “Cá nhân”,Hệ thống mở màn hình profile.php,High,,,,
TC-KH20-002,Hiển thị avatar người dùng,1. Mở màn hình cá nhân,Avatar hiển thị đúng dữ liệu tài khoản,Medium,,,,
TC-KH20-003,"Hiển thị họ tên, SĐT và địa chỉ căn hộ",1. Mở màn hình cá nhân,Hiển thị đầy đủ thông tin tài khoản,High,,,,
TC-KH20-004,Hiển thị thẻ thống kê tài khoản,1. Quan sát phần thống kê,"Hiển thị số đơn đặt, điểm đánh giá và số dư ví",Medium,,,,
TC-KH20-005,Chỉnh sửa thông tin cá nhân thành công,"1. Nhấn “Thông tin cá nhân” 
2. Chỉnh sửa dữ liệu 
3. Lưu thay đổi",Hệ thống cập nhật thông tin thành công,High,,,,
TC-KH20-006,Validate khi nhập SĐT không hợp lệ,"1. Nhập SĐT sai định dạng 
2. Lưu thông tin",Hệ thống hiển thị validate lỗi,High,,,,
TC-KH20-007,Kiểm tra để trống họ tên,"1. Xóa họ tên 
2. Nhấn lưu",Hệ thống hiển thị yêu cầu nhập họ tên,High,,,,
TC-KH20-008,Kiểm tra hiển thị nhắc cập nhật thông tin,1. Đăng nhập tài khoản thiếu thông tin cá nhân,Hệ thống hiển thị nhắc cập nhật thông tin,Medium,,,,
TC-KH20-009,Kiểm tra điều hướng đến Ví & phương thức TT,1. Nhấn “Ví & phương thức TT”,Hệ thống chuyển sang màn hình ví M13,Medium,,,,
TC-KH20-010,Kiểm tra điều hướng đến Gói gia đình,1. Nhấn “Gói gia đình”,Hệ thống mở màn hình gói gia đình,Medium,,,,
TC-KH20-011,Kiểm tra chức năng đăng xuất,1. Nhấn “Đăng xuất”,Người dùng bị đăng xuất và quay về màn hình login,High,,,,
TC-KH20-012,Kiểm tra giao diện màn hình cá nhân,"1. Mở màn hình M15 
2. Quan sát giao diện",Giao diện hiển thị đúng thiết kế UI/UX,Low,,,,
UC-KH-21 — Quản lý ví & phương thức thanh toán,,,,,,,,
TC-KH21-001,Mở màn hình Ví & phương thức thanh toán,"1. Đăng nhập vào hệ thống 
2. Từ thanh điều hướng chọn tab “Cá nhân”
3. Nhấn mục “Ví & phương thức TT”",- Hệ thống mở màn hình quản lý ví và phương thức thanh toán thành công- Hiển thị danh sách phương thức đã liên kết,High,,,,
TC-KH21-002,Hiển thị danh sách phương thức thanh toán đã liên kết,"1. Mở màn hình “Ví & phương thức TT”
2. Quan sát danh sách phương thức thanh toán","- Hiển thị đầy đủ các phương thức đã liên kết như MoMo, VNPay, QR Bank",High,,,,
TC-KH21-003,Thêm mới phương thức thanh toán thành công,"1. Mở màn hình “Ví & phương thức TT”
2. Nhấn nút “Thêm phương thức thanh toán”
3. Chọn phương thức MoMo
4. Nhập thông tin liên kết hợp lệ
5. Xác nhận liên kết",- Phương thức thanh toán được thêm thành công- Hiển thị trong danh sách phương thức liên kết,High,,,,
TC-KH21-004,Xóa phương thức thanh toán thành công,"1. Mở danh sách phương thức thanh toán
2. Chọn một phương thức đã liên kết
3. Nhấn “Xóa”
4. Xác nhận xóa",- Phương thức thanh toán được xóa khỏi danh sách,High,,,,
TC-KH21-005,Kiểm tra popup xác nhận khi xóa phương thức thanh toán,1. Nhấn nút “Xóa” trên phương thức thanh toán,- Hệ thống hiển thị popup xác nhận xóa,Medium,,,,
TC-KH21-006,Hủy thao tác xóa phương thức thanh toán,"1. Nhấn “Xóa” trên phương thức thanh toán
2. Chọn “Hủy” tại popup xác nhận",- Phương thức thanh toán vẫn được giữ nguyên,Medium,,,,
TC-KH21-007,Kiểm tra trạng thái chưa liên kết phương thức nào,"1. Đăng nhập bằng tài khoản chưa liên kết phương thức thanh toán
2. Mở màn hình “Ví & phương thức TT”",- Hệ thống hiển thị trạng thái trống- Gợi ý thêm mới phương thức thanh toán,Medium,,,,
TC-KH21-008,Kiểm tra thêm phương thức thanh toán bị lỗi,1. Thực hiện thêm phương thức thanh toán2. Nhập thông tin không hợp lệ3. Xác nhận liên kết,- Hệ thống hiển thị thông báo lỗi liên kết thất bại,Medium,,,,
TC-KH21-009,Kiểm tra tải dữ liệu khi mất mạng,"1. Tắt internet
2. Mở màn hình “Ví & phương thức TT”",- Hệ thống hiển thị lỗi kết nối mạng,Medium,,,,
TC-KH21-010,Kiểm tra giao diện màn hình quản lý phương thức thanh toán,"1. Mở màn hình “Ví & phương thức TT”
2. Quan sát giao diện",- Giao diện hiển thị đúng thiết kế UI/UX,Low,,,,
UC-KH-22 — Đăng ký gói gia đình,,,,,,,,
TC-KH22-001,Đăng ký gói gia đình thành công bằng ví,"1. Đăng nhập vào hệ thống
2. Từ màn hình Cá nhân nhấn “Gói gia đình”
3. Xem thông tin chi tiết gói
4. Nhấn “Đăng ký gói”
5. Chọn thanh toán bằng ví
6. Xác nhận thanh toán",- Gói gia đình được kích hoạt thành công- Số dư ví bị trừ đúng số tiền gói,High,,,,
TC-KH22-002,Đăng ký gói gia đình bằng phương thức liên kết,"1. Mở màn hình “Gói gia đình”
2. Nhấn “Đăng ký gói”
3. Chọn phương thức thanh toán MoMo/VNPay
4. Xác nhận thanh toán",- Thanh toán thành công- Gói gia đình được kích hoạt,High,,,,
TC-KH22-003,Kiểm tra hiển thị badge “MỚI”,"1. Mở màn hình Cá nhân
2. Quan sát mục “Gói gia đình”",- Badge “MỚI” màu đỏ hiển thị đúng,Low,,,,
TC-KH22-004,Xem thông tin chi tiết gói gia đình,1. Nhấn mục “Gói gia đình”,- Hiển thị đầy đủ thông tin gói 30 ngày,Medium,,,,
TC-KH22-005,Kiểm tra đăng ký gói khi ví không đủ số dư,"1. Sử dụng tài khoản có ví không đủ tiền
2. Thực hiện đăng ký gói",- Hệ thống yêu cầu nạp tiền và chuyển đến M14,High,,,,
TC-KH22-006,Kiểm tra cập nhật trạng thái sau khi đăng ký gói,"1. Đăng ký gói thành công
2. Quay lại màn hình Cá nhân",- Tài khoản hiển thị trạng thái đã kích hoạt gói,Medium,,,,
TC-KH22-007,Kiểm tra giao dịch thanh toán được lưu lịch sử,"1. Đăng ký gói thành công 
2. Mở lịch sử giao dịch ví",- Hiển thị giao dịch thanh toán gói gia đình,Medium,,,,
TC-KH22-008,Kiểm tra đăng ký gói khi mất mạng,"1. Tắt internet
2. Thực hiện đăng ký gói",- Hệ thống hiển thị lỗi kết nối mạng,Medium,,,,
TC-KH22-009,Kiểm tra giao diện màn hình gói gia đình,"1. Mở màn hình “Gói gia đình” 
2. Quan sát giao diện",- Giao diện hiển thị đúng thiết kế UI/UX,Low,,,,
UC-KH-23 — Liên hệ CSKH hỗ trợ 24/7,,,,,,,,
TC-KH23-001,Mở màn hình CSKH hỗ trợ 24/7,"1. Đăng nhập vào hệ thống
2. Từ màn hình Cá nhân nhấn “CSKH — Hỗ trợ 24/7”",- Hệ thống mở màn hình hỗ trợ khách hàng thành công,High,,,,
TC-KH23-002,Liên hệ CSKH qua chat thành công,"1. Mở màn hình CSKH
2. Chọn hình thức “Chat”
3. Nhập nội dung hỗ trợ 
4. Nhấn gửi yêu cầu",- Yêu cầu hỗ trợ được gửi thành công đến CSKH,High,,,,
TC-KH23-003,Liên hệ CSKH qua gọi điện thành công,"1. Mở màn hình CSKH
2. Chọn hình thức “Gọi điện”",- Hệ thống thực hiện cuộc gọi đến CSKH,High,,,,
TC-KH23-004,Kiểm tra nhập nội dung hỗ trợ,"1. Nhập nội dung hỗ trợ hợp lệ
2. Nhấn gửi",- Nội dung hỗ trợ được ghi nhận thành công,Medium,,,,
TC-KH23-005,Validate khi gửi yêu cầu hỗ trợ rỗng,"1. Không nhập nội dung hỗ trợ
2. Nhấn gửi",- Hệ thống hiển thị thông báo yêu cầu nhập nội dung,High,,,,
TC-KH23-006,Kiểm tra chatbot hỗ trợ ngoài giờ hành chính,1. Liên hệ CSKH ngoài giờ hành chính,- Chatbot tự động phản hồi hỗ trợ,Medium,,,,
TC-KH23-007,Kiểm tra gửi yêu cầu hỗ trợ khi mất mạng,"1. Tắt internet
2. Gửi yêu cầu hỗ trợ",- Hệ thống hiển thị lỗi kết nối mạng,Medium,,,,
TC-KH23-008,Kiểm tra giao diện màn hình CSKH,"1. Mở màn hình hỗ trợ CSKH
2. Quan sát giao diện",- Giao diện hiển thị đúng thiết kế UI/UX,Low,,,,
UC-KH-24 — Cài đặt tài khoản,,,,,,,,
TC-KH24-001,Mở màn hình cài đặt tài khoản,"1. Đăng nhập hệ thống
2. Từ màn hình Cá nhân nhấn “Cài đặt”",- Hệ thống mở màn hình cài đặt thành công,High,,,,
TC-KH24-002,Hiển thị danh sách tùy chỉnh tài khoản,1. Mở màn hình cài đặt,"- Hiển thị đầy đủ tùy chỉnh như thông báo, ngôn ngữ, quyền riêng tư",Medium,,,,
TC-KH24-003,Bật/tắt thông báo tài khoản,"1. Mở cài đặt thông báo
2. Bật hoặc tắt thông báo
3. Nhấn lưu",- Thiết lập thông báo được cập nhật thành công,High,,,,
TC-KH24-004,Thay đổi ngôn ngữ ứng dụng,"1. Mở cài đặt ngôn ngữ
2. Chọn ngôn ngữ khác
3. Lưu thay đổi",- Ngôn ngữ ứng dụng được cập nhật đúng,Medium,,,,
TC-KH24-005,Cập nhật cài đặt quyền riêng tư,"1. Mở cài đặt quyền riêng tư
2. Điều chỉnh thiết lập
3. Nhấn lưu",- Thiết lập quyền riêng tư được cập nhật,Medium,,,,
TC-KH24-006,Kiểm tra lưu thay đổi cài đặt,"1. Thay đổi bất kỳ thiết lập nào
2. Nhấn “Lưu thay đổi”",- Hệ thống lưu thay đổi thành công,High,,,,
TC-KH24-007,Thoát màn hình cài đặt khi không thay đổi dữ liệu,"1. Mở màn hình cài đặt
2. Không chỉnh sửa dữ liệu
3. Thoát màn hình",- Hệ thống quay về màn hình Cá nhân,Low,,,,
TC-KH24-008,Kiểm tra lưu cài đặt khi mất mạng,"1. Tắt internet
2. Thay đổi cài đặt
3. Nhấn lưu",- Hệ thống hiển thị lỗi kết nối mạng,Medium,,,,
TC-KH24-009,Kiểm tra giao diện màn hình cài đặt,"1. Mở màn hình cài đặt
2. Quan sát giao diện",- Giao diện hiển thị đúng thiết kế UI/UX,Low,,,,
UC-KH-25 — Đăng xuất,,,,,,,,
TC-KH25-001,Đăng xuất thành công,"1. Đăng nhập vào hệ thống
2. Từ màn hình Cá nhân nhấn “Đăng xuất”
3. Xác nhận đăng xuất",- Phiên đăng nhập được xóa- Hệ thống chuyển về màn hình đăng nhập M01,High,,,,
TC-KH25-002,Kiểm tra popup xác nhận đăng xuất,1. Nhấn nút “Đăng xuất”,- Hệ thống hiển thị popup xác nhận đăng xuất,High,,,,
TC-KH25-003,Hủy thao tác đăng xuất,"1. Nhấn “Đăng xuất”
2. Chọn “Hủy” tại popup xác nhận",- Người dùng vẫn ở lại màn hình Cá nhân,Medium,,,,
TC-KH25-004,Kiểm tra truy cập lại màn hình sau khi đăng xuất,"1. Đăng xuất khỏi hệ thống
2. Nhấn nút Back trên thiết bị",- Không thể quay lại màn hình bên trong hệ thống,High,,,,
TC-KH25-005,Kiểm tra xóa session sau khi đăng xuất,"1. Đăng xuất khỏi hệ thống
2. Mở lại ứng dụng",- Hệ thống yêu cầu đăng nhập lại,High,,,,
TC-KH25-006,Kiểm tra đăng xuất khi mất mạng,"1. Tắt internet
2. Nhấn “Đăng xuất”",- Hệ thống vẫn cho phép đăng xuất hoặc hiển thị thông báo phù hợp,Medium,,,,
TC-KH25-007,Kiểm tra giao diện popup đăng xuất,"1. Nhấn “Đăng xuất”
2. Quan sát popup xác nhận",- Popup hiển thị đúng UI/UX thiết kế,Low,,,,
